# Corrections cleared for writing. Tab separated: title, wrong, right.
#
# The harvest proposes; this file decides. Roughly half of what it proposes
# is wrong, because the local evidence cannot distinguish a name the show
# spells oddly from a name a subtitle got wrong - "Barbas" is right and the
# only Charmed subtitle carrying it says "Barbus". Everything here was
# checked against what the title actually calls these people and places.
#
# Deliberately NOT approved, as examples of what the harvest gets wrong:
#   Charmed        Barbas -> Barbus        Barbas is the demon's name
#   Sons of Anarchy Diosa -> Deosa         Diosa is the business
#   Mayday         Pitot -> Pettit         a pitot tube
#   Mayday         Nepalese -> Nepals      an ordinary word
#   The Good Doctor Anastomosis -> Anastomos   a real surgical term
#   South Park     MPAA -> Moop            MPAA is real
#   Peacemaker     Murn -> Mern            Murn is right
#   Smallville     Kel-El -> Kai-El        it is Kal-El, neither of these
#   Shameless      Fuckery -> Ficker
#   Stargate       Tok'rin -> Tok'erne     Danish leaking into English

Mayday 2003	Batanoyu	Batanoiu
Mayday 2003	Alaberdin	Allaberdin
Mayday 2003	Alabirdin	Allaberdin
Mayday 2003	Ruchel	Reichel
Mayday 2003	Tejada	Tejeda
Mayday 2003	Puckus	Poeckes
Mayday 2003	Shoker	Shoukair
Mayday 2003	Gemli	Gamil
Mayday 2003	Fythe	Feith
Mayday 2003	Chial	Chiel
Mayday 2003	McAdull	Macidull
